beta,velocity,success,apoapsis,delta_v,exit_velocity,max_g_load,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux
40.0,14000.0,True,499999.88620862836,132.42498268286317,3526.560026328986,7.4850744425827065,257.9538661866447,146.7783006666079,111.17556552003681
40.0,14100.0,False,,,,,,,
40.0,14200.0,False,,,,,,,
40.0,14300.0,True,499999.8437056904,133.21783579610292,3525.9153827790155,7.840732747307299,286.2170088933312,167.93772044875394,118.44148677718361
40.0,14400.0,True,499999.79669077904,133.21438289440948,3525.9132548912476,7.934566625092719,296.55183556743395,175.50156019887808,121.05027536855586
40.0,14500.0,True,499999.90839871083,131.70716825233058,3527.042597628027,8.05095055906704,306.97099583752595,183.36485399374976,123.6061418437762
40.0,14600.0,True,499999.82310018386,133.19018345365657,3525.9495270892685,8.120028216258696,315.8430429948945,190.00200408119085,125.8410389137037
40.0,14700.0,True,500000.0400497099,131.9712380262149,3526.617064987799,8.247208079228665,325.99436587809305,197.63319823278536,128.36116764530766
40.0,14800.0,True,499999.8898316423,132.54677814958268,3526.277091091236,8.322969559765864,335.3842422738033,204.82588408121177,130.55835819259153
40.0,14900.0,False,,,,,,,
40.0,15000.0,True,499999.9145775062,132.62353342862616,3526.1253762898054,8.548684669239027,358.2022651131322,222.4612317154647,135.74103339766754
40.0,15100.0,True,499999.9216167482,132.52105591179225,3526.329920329377,8.67449313847302,369.17576067161707,230.9177479002363,138.52455200951962
40.0,15200.0,True,500000.00108686055,131.89319509359166,3526.737298103715,8.786947651522539,380.55534842431825,239.6941129417577,141.41546073396384
40.0,15300.0,True,499999.8303501352,132.37048527522347,3526.6737194738203,8.921547610106922,392.5236852142873,248.81193814420186,144.38778028738486
40.0,15400.0,True,499999.9898078253,131.74757656573047,3526.957903787731,9.047140771085335,405.3949553249548,257.9699811059286,147.4249742190262
40.0,15500.0,True,499999.93949864595,132.3946393726219,3526.6348902716286,9.127944345490205,415.24895021129964,265.33115239876014,149.91779781253948
40.0,15600.0,False,,,,,,,
40.0,15700.0,False,,,,,,,
40.0,15800.0,False,,,,,,,
40.0,15900.0,True,500000.09607710066,132.27298797469575,3526.8591270427773,9.618703391375131,461.75460764379744,300.4222430951069,161.67267567883485
40.0,16000.0,True,500000.1484836495,132.270222008774,3526.8846639865865,9.717598169236659,471.26181650289675,307.3776179471554,164.46745402688924
40.5,14000.0,False,,,,,,,
40.5,14100.0,False,,,,,,,
40.5,14200.0,False,,,,,,,
40.5,14300.0,True,499999.9922195704,131.04056599786372,3527.599589087308,7.7397026569304845,286.7840053221297,168.36012603011247,118.57014008712983
40.5,14400.0,True,499999.84189547825,131.79544953410368,3527.0225318222506,7.854770777220443,297.01464073147275,176.01018843574,121.17900265295803
40.5,14500.0,True,499999.8085403273,132.06028292955034,3526.504748386402,7.946070682784507,307.4163461423925,183.68126555548076,123.73508058691174
40.5,14600.0,True,499999.8894786219,131.21173383304176,3528.0077967006227,8.04999774461775,317.30323586874067,191.1136990977027,126.18953677103798
40.5,14700.0,True,499999.8714119528,131.8153188446072,3526.995239673719,8.149581479013671,326.4105691047,197.91751258810615,128.4930565165939
40.5,14800.0,True,500000.11759592505,131.40472671049292,3527.659395680634,8.223385855448859,336.23543467771844,205.47524471206603,130.76018996565244
40.5,14900.0,True,499999.9301875664,132.00967708416647,3526.6129934275236,8.347639404309882,348.0434504361314,214.6121158361605,133.4313345999709
40.5,15000.0,False,,,,,,,
40.5,15100.0,True,499999.98279637384,131.03526537238258,3527.610210576725,8.582359356946355,371.34756381718825,232.62699045508467,139.03080569908911
40.5,15200.0,True,500000.01736180857,131.12897533858995,3527.4033714500692,8.715583556817739,383.17622253098466,241.76748216736559,141.99559947570373
40.5,15300.0,True,500000.0056923243,131.69562651589285,3527.2012703036094,8.797646745169128,392.78433615907954,249.0020892761249,144.5058149911966
40.5,15400.0,True,499999.8923816345,131.02237640578005,3527.6478624514334,8.93678301639335,405.6019364386233,258.1981528026384,147.53936922767986
40.5,15500.0,False,,,,,,,
40.5,15600.0,True,499999.99028857646,131.03233156812848,3527.6153323919216,9.153503511501919,428.33027737704197,275.2302175107041,153.10005986633783
40.5,15700.0,False,,,,,,,
40.5,15800.0,False,,,,,,,
40.5,15900.0,True,499999.9595401582,131.05737090021466,3527.5669236677845,9.52271434380878,462.331725568611,300.77740697562143,161.77145128105687
40.5,16000.0,True,499999.81769184786,132.0585706837287,3527.2617032924045,9.633860595482917,473.0549403153418,308.7277058463045,164.68437767077566
41.0,14000.0,False,,,,,,,
41.0,14100.0,False,,,,,,,
41.0,14200.0,False,,,,,,,
41.0,14300.0,True,500000.08502861095,130.6651108838514,3528.3751168168455,7.641218928990902,287.3345339294053,168.76964793144964,118.69563801494823
41.0,14400.0,True,499999.9366362923,130.2555423656786,3528.4599787148913,7.754665624446516,297.4642195839019,176.39658975761037,121.30454383685507
41.0,14500.0,True,500000.0139298706,130.52317179011834,3527.94818561957,7.86631797778216,307.8486490726218,183.98784726139627,123.86080181122557
41.0,14600.0,True,500000.0563733479,130.45093022970514,3528.0790129833713,7.963975636067321,317.7191488967575,191.40308021474357,126.3160686820139
41.0,14700.0,True,499999.83096524945,130.59801855075648,3528.5187960497524,8.043660935945935,326.900794205377,198.27917800401642,128.6216162013606
41.0,14800.0,True,499999.8856496385,130.62580950898655,3528.4662121956067,8.139801362526388,337.5003989374761,206.45544491410413,131.04495402337201
41.0,14900.0,False,,,,,,,
41.0,15000.0,False,,,,,,,
41.0,15100.0,True,499999.6506308229,130.14662209975813,3528.637489087664,8.504094759320804,372.21139110174056,233.27296235408812,139.14589154372362
41.0,15200.0,True,499999.9637420421,130.64375293659532,3528.4205345984547,8.623902122750255,384.0157986059878,242.38900084767053,142.10854300409
41.0,15300.0,True,500000.0537099781,130.67593985375697,3528.3395782538223,8.7347239985693,395.78679529967894,251.35328411444118,145.13358323720706
41.0,15400.0,True,499999.79118902166,130.72172716393834,3528.2368157075857,8.812869216242785,405.8000387169019,258.2701745762936,147.65062849126244
41.0,15500.0,False,,,,,,,
41.0,15600.0,False,,,,,,,
41.0,15700.0,False,,,,,,,
41.0,15800.0,False,,,,,,,
41.0,15900.0,True,499999.8868755849,130.59814298315632,3528.529615098509,9.384297728913548,462.2233580448842,300.57264135926454,161.86743712154382
41.0,16000.0,True,499999.7953281815,129.95317725429868,3528.930158751089,9.493557682024663,472.8746580039463,308.4558523865135,164.77970709280223
41.5,14000.0,True,499999.9393069717,131.33968433406653,3527.5876956969537,7.265818673859521,260.89311742014274,148.970286895302,111.92283052484078
41.5,14100.0,False,,,,,,,
41.5,14200.0,False,,,,,,,
41.5,14300.0,True,500000.1309725489,129.20948043715953,3529.637904727882,7.5827922399244825,289.4471698473335,170.3962711730303,119.15379417940336
41.5,14400.0,True,499999.85131840815,129.26193874543424,3529.5232062438904,7.657057759721706,297.9011220126267,176.77088520788297,121.42701524686193
41.5,14500.0,True,499999.8899474022,130.32935414900976,3528.289096803739,7.766119001096587,308.26845794426487,184.2850340773013,123.98342386696355
41.5,14600.0,True,500000.0748160206,129.18625096320147,3529.680860118619,7.861395957450705,318.122762536046,191.6833015538074,126.43946098223863
41.5,14700.0,True,499999.8917652729,129.50857928983623,3529.044048080783,7.959887178296208,327.39696322446144,198.64999280225337,128.74697042220808
41.5,14800.0,True,499999.9356942828,129.31052235888,3529.4198355355443,8.054171647922697,338.62058219889917,207.3204117979396,131.30017040095956
41.5,14900.0,False,,,,,,,
41.5,15000.0,True,500000.1116352529,129.2119248461213,3529.623252312796,8.303920215586569,362.81144026180937,226.04884944265075,136.76259081915865
41.5,15100.0,True,499999.95425084233,129.3103250083568,3529.4333075970058,8.389178760820613,372.5801079159768,233.52135863571488,139.2580107276006
41.5,15200.0,True,499999.8561086558,130.14644895139963,3528.702930004086,8.507998630902929,384.33415578012807,242.5905091986515,142.21852088466207
41.5,15300.0,True,500000.0762582431,130.07721837135477,3528.836489481198,8.642835566492499,396.4280221048133,251.928270707513,145.24038829092382
41.5,15400.0,False,,,,,,,
41.5,15500.0,True,499999.98488999583,129.39354179140628,3529.2732704395917,8.841951773016465,418.8253089330625,268.0111959153439,150.8141130177186
41.5,15600.0,False,,,,,,,
41.5,15700.0,False,,,,,,,
41.5,15800.0,False,,,,,,,
41.5,15900.0,True,499999.7904547122,130.09319732157655,3528.8038564039407,9.313435443451194,463.94263145621767,301.8722844692114,162.0715029175964
41.5,16000.0,True,499999.985264323,130.23611988344146,3528.5081651576415,9.408302384499393,473.36584343417314,308.7384463051889,164.87234514756244
42.0,14000.0,True,499999.8765754817,128.81825419188317,3529.714482525866,7.178357233886398,261.36885995289896,149.31468829051744,112.0541716623815
42.0,14100.0,False,,,,,,,
42.0,14200.0,False,,,,,,,
42.0,14300.0,True,499999.7380881123,128.67284974877293,3530.1033731966468,7.489170690867302,289.9541385874409,170.77217125869643,119.27001124746477
42.0,14400.0,True,499999.9858386861,128.96576252954628,3529.3946657611973,7.599705401060745,299.8375600919238,178.28356938604998,121.83409002792645
42.0,14500.0,False,,,,,,,
42.0,14600.0,True,499999.9877373827,128.7719795418284,3529.8159633796995,7.798650697781952,318.87120032578275,192.3617650844327,126.63548139245492
42.0,14700.0,True,499999.6101710664,128.74537130679437,3529.9169212384127,7.857369301450693,327.8785590347241,199.00932215451374,128.86923688021037
42.0,14800.0,True,499999.9822356033,128.77734171831253,3529.8168248185725,7.977397129414792,339.9498844656421,208.35294574581414,131.596938719828
42.0,14900.0,False,,,,,,,
42.0,15000.0,False,,,,,,,
42.0,15100.0,True,499999.87825040723,129.2915712741269,3529.51494147813,8.313762497078612,374.9786111358965,235.41635919066073,139.7909639374404
42.0,15200.0,True,499999.8307112187,128.72109994960874,3529.9752714094984,8.447329650942807,387.08908289527915,244.77518233372805,142.80444468159175
42.0,15300.0,True,499999.798302637,128.6711983901414,3530.096756399368,8.526516258049288,396.6742941552097,252.0655830827805,145.34436409338684
42.0,15400.0,True,500000.1113143085,128.98066430925428,3529.3647504429387,8.661322279609573,409.0366764037773,261.2100190089001,148.3929863542144
42.0,15500.0,False,,,,,,,
42.0,15600.0,False,,,,,,,
42.0,15700.0,False,,,,,,,
42.0,15800.0,False,,,,,,,
42.0,15900.0,False,,,,,,,
42.0,16000.0,True,499999.8669066756,129.30351262912927,3529.5048710970873,9.2911538458554,473.94472879922523,309.10653718622393,165.08114536886728
42.5,14000.0,False,,,,,,,
42.5,14100.0,False,,,,,,,
42.5,14200.0,False,,,,,,,
42.5,14300.0,True,500000.0148446577,128.38295540453373,3529.9614379364057,7.426677147750168,290.7644216027267,171.38405409870396,119.38346181613315
42.5,14400.0,False,,,,,,,
42.5,14500.0,True,499999.9743221397,128.20779170201877,3530.337439610417,7.622476623177188,310.09273638810566,186.04462285992133,124.41955757734574
42.5,14600.0,True,500000.0609684061,127.66594453518155,3530.547076780675,7.700233911954148,319.2479785814485,192.65214331778884,126.75210627663955
42.5,14700.0,True,499999.7368204844,127.70181564453242,3530.4791202262645,7.7758947838620065,328.924507964495,199.81754511827654,129.1069628462184
42.5,14800.0,False,,,,,,,
42.5,14900.0,False,,,,,,,
42.5,15000.0,False,,,,,,,
42.5,15100.0,True,500000.04078212817,128.23929984062352,3530.279615535059,8.23895308586519,375.77040590268643,236.0064929388019,139.89346914339012
42.5,15200.0,False,,,,,,,
42.5,15300.0,False,,,,,,,
42.5,15400.0,False,,,,,,,
42.5,15500.0,False,,,,,,,
42.5,15600.0,False,,,,,,,
42.5,15700.0,False,,,,,,,
42.5,15800.0,False,,,,,,,
42.5,15900.0,False,,,,,,,
42.5,16000.0,True,500000.1025442587,128.04180623156844,3530.682019734025,9.200669741406104,475.5117900330911,310.3012276358649,165.43911916097758
43.0,14000.0,False,,,,,,,
43.0,14100.0,False,,,,,,,
43.0,14200.0,False,,,,,,,
43.0,14300.0,True,500000.13187580195,128.87584614068146,3530.0169787006143,7.335945131584313,291.2401238612931,171.73564184791306,119.50448201338003
43.0,14400.0,True,500000.0760635753,127.21493384111,3531.4760007386326,7.434450638698412,301.09428553921623,179.2173483002297,122.05891002448328
43.0,14500.0,True,499999.9958084441,126.91615536984636,3531.3475085564987,7.528333076267356,310.5194014777976,186.34930655914565,124.53146281591886
43.0,14600.0,True,500000.0223474577,126.80679807653723,3531.6147960402072,7.625147251808371,319.6341613190982,193.2194098876859,126.86593735555908
43.0,14700.0,True,500000.0954542543,127.00421341006768,3531.1538559072465,7.709165809990097,330.3613885361334,200.93698342180235,129.42440511433105
43.0,14800.0,False,,,,,,,
43.0,14900.0,False,,,,,,,
43.0,15000.0,True,499999.7421166095,128.05726226574734,3530.6615141967195,8.04918806593388,366.2265089214492,228.67709706065017,137.54941186079904
43.0,15100.0,True,499999.7676514944,127.03140893359614,3531.0927413477893,8.13104464163234,376.0790604687854,236.20824346074494,139.9933985518859
43.0,15200.0,True,499999.8907321367,126.88667106744106,3531.4154265716675,8.252212155998382,388.10914498542,245.49141860709088,143.00140354374184
43.0,15300.0,False,,,,,,,
43.0,15400.0,False,,,,,,,
43.0,15500.0,False,,,,,,,
43.0,15600.0,False,,,,,,,
43.0,15700.0,False,,,,,,,
43.0,15800.0,False,,,,,,,
43.0,15900.0,False,,,,,,,
43.0,16000.0,True,499999.8190457049,127.92114331998164,3530.9454542411736,9.10503490613504,476.75174395090175,311.2237620647755,165.74375124474574
43.5,14000.0,False,,,,,,,
43.5,14100.0,False,,,,,,,
43.5,14200.0,False,,,,,,,
43.5,14300.0,True,499999.8305592909,126.5176772824334,3532.2330268597384,7.247383512623984,291.7026635143635,172.07699058696787,119.62567292739566
43.5,14400.0,True,500000.0630564243,126.45398319552805,3531.7161478174735,7.344669837228016,301.5333322134875,179.5363604007949,122.1673694415052
43.5,14500.0,False,,,,,,,
43.5,14600.0,True,499999.7122967858,126.48831607107331,3531.6003098654273,7.530993503773067,320.0204220278254,193.48782488621197,126.97707331939974
43.5,14700.0,False,,,,,,,
43.5,14800.0,False,,,,,,,
43.5,14900.0,False,,,,,,,
43.5,15000.0,False,,,,,,,
43.5,15100.0,False,,,,,,,
43.5,15200.0,False,,,,,,,
43.5,15300.0,False,,,,,,,
43.5,15400.0,False,,,,,,,
43.5,15500.0,False,,,,,,,
43.5,15600.0,False,,,,,,,
43.5,15700.0,False,,,,,,,
43.5,15800.0,False,,,,,,,
43.5,15900.0,True,499999.76489030005,126.49763416370342,3531.5786105386587,8.906836448914552,466.3319821073237,303.77389939499534,162.9011369736434
43.5,16000.0,True,499999.92698090157,126.72357295379243,3531.7548232732242,9.022754629108109,478.45561860770624,312.53420242591926,166.1159254017856
44.0,14000.0,False,,,,,,,
44.0,14100.0,False,,,,,,,
44.0,14200.0,False,,,,,,,
44.0,14300.0,False,,,,,,,
44.0,14400.0,False,,,,,,,
44.0,14500.0,False,,,,,,,
44.0,14600.0,True,500000.0525930506,125.98410607392634,3532.071521866368,7.442389452906513,320.50728022729385,193.8369127223008,127.10745525050619
44.0,14700.0,False,,,,,,,
44.0,14800.0,False,,,,,,,
44.0,14900.0,False,,,,,,,
44.0,15000.0,False,,,,,,,
44.0,15100.0,True,499999.99555634515,125.87923370716044,3532.2985300480495,7.99643776068646,379.33351730831913,238.7498298210297,140.62414868039292
44.0,15200.0,False,,,,,,,
44.0,15300.0,False,,,,,,,
44.0,15400.0,False,,,,,,,
44.0,15500.0,False,,,,,,,
44.0,15600.0,False,,,,,,,
44.0,15700.0,False,,,,,,,
44.0,15800.0,False,,,,,,,
44.0,15900.0,True,499999.8872298979,126.29491165020227,3531.971703316169,8.816353187193636,467.49966235030496,304.6323736836438,163.19813464226723
44.0,16000.0,True,500000.00457044085,126.08252505821429,3532.5452223330476,8.954300729706786,480.662699654202,314.2646504206524,166.56023837159893
44.5,14000.0,False,,,,,,,
44.5,14100.0,False,,,,,,,
