gamma_initial,mass,velocity_initial,lift_multiplier,drag_multiplier,density_multiplier,success,failure,max_total_heat_flux,max_rad_heat_flux,max_conv_heat_flux,max_g_load,apoapsis_altitude,periapsis_altitude,delta_v,velocity_exit
-10.652077204498912,10008.069405752807,15922.201166256737,1.0363388583743292,0.9870719649589238,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A86F390>,True,SUCCESS,391.6697177051851,244.95432902029233,147.5431782310788,8.516789509772313,499999.82741826214,59898.78850414805,123.94039682621951,3534.101719204648
-10.654444980463728,10025.503135105268,16223.500154423782,1.0482931951560062,0.9520956569899196,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A833E10>,True,SUCCESS,459.3536568561917,298.335991754857,162.42868598309224,9.450492334686352,499999.3440018934,59717.77804605588,130.32800402980502,3528.333838457759
-10.637995008154837,10007.72324813178,16138.940204799288,1.0493416856523932,0.8983468907413149,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD7FA7CC00>,True,SUCCESS,512.2866484566898,343.27025686652735,169.81177362879473,10.195675329207178,458503.8935157724,59572.75654757277,141.347882363621,3500.8061037826874
-10.952185670495842,10032.653863570427,15835.08644842602,0.9884545610611777,0.8388268190654831,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A7666C0>,True,SUCCESS,563.1569629967523,385.4240635447961,178.70548244319767,9.938752849006256,499999.8592207991,59572.760452513605,122.62436237709562,3535.7532593225965
-10.447803675667792,10049.117506521681,16171.577063497482,1.3135164282069869,0.8905456110742375,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD493168D0>,True,SUCCESS,,,,11.334972607156224,500000.00462468475,60027.8598485879,155.90771150447654,3505.0494801758023
-10.598013540569008,10064.721850670696,15738.559506490452,1.0489262455065884,1.1012385411331862,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A96EF10>,True,SUCCESS,333.0196763936884,200.33268894471868,133.4334178044296,8.326586741278435,499999.96259355306,59587.31123293121,134.64760849861614,3524.321750873065
-10.499043757448337,10003.808370667066,15900.67026355359,1.0007067316929197,0.9532138488990959,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8BAA30>,True,SUCCESS,,,,8.125559419210653,482094.68890774663,60019.4894179502,135.96519170555212,3515.4551289013966
-10.886967066276407,10007.979822294401,15969.738474421556,1.1026242110878413,1.135096206454111,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E7850>,True,SUCCESS,435.4462335111377,279.08123189482336,156.574813122043,10.898779107511759,499999.57436746557,59918.09633860717,132.8572355463234,3526.520162902532
-10.456348010992565,9959.741187116402,16245.944197093208,1.1199094678833394,1.2459417671326876,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A8E7D90>,True,SUCCESS,344.93950565074755,207.63696677590934,138.40483084443267,9.781527914787867,483422.98734436894,59710.378200357765,147.71171995872828,3506.1043156774795
-10.932146670437847,9955.976763442637,15967.524019685981,1.0565149712046817,0.9725596662483774,<scipy.interpolate._cubic.PchipInterpolator object at 0x000001DD2A9381A0>,True,SUCCESS,,,,10.23415439070934,471881.38275907433,59955.50593607171,141.11703291698177,3506.6673814606133
